id,date,curConfirm,confirmed,cured,died,curConfirmRelative,overseasInputRelative
1,2022-01-18,7062,136089,123327,5700,81,44
2,2022-01-19,7028,136248,123520,5700,-34,32
3,2022-01-20,6904,136375,123771,5700,-124,23
4,2022-01-21,6908,136597,123989,5700,-82,50
5,2022-01-22,6768,136653,124185,5700,-54,40
6,2022-01-23,6943,137052,124409,5700,-25,37
7,2022-01-24,6787,137150,124663,5700,-8,39
8,2022-01-25,6748,137324,124876,5700,-47,27
9,2022-01-26,6748,137518,125070,5700,-38,20
10,2022-01-27,6737,137727,125290,5700,15,37
11,2022-01-28,6871,138050,125479,5700,126,25
12,2022-01-29,6842,138244,125702,5700,-13,22
13,2022-01-30,6846,138450,125904,5700,6,27
14,2022-01-31,6847,138621,126074,5700,8,18
15,2022-02-01,6833,138753,126220,5700,41,39
16,2022-02-02,6869,138960,126391,5700,36,27
17,2022-02-03,6982,139193,126511,5700,55,18
18,2022-02-04,7031,139393,126662,5700,34,17
19,2022-02-05,7187,139714,126827,5700,155,18
20,2022-02-06,7406,140108,127002,5700,193,30
21,2022-02-07,7477,140411,127234,5700,67,34
22,2022-02-08,7720,140888,127468,5700,280,40
23,2022-02-09,7844,141183,127639,5700,136,37
24,2022-02-10,8288,141846,127856,5702,499,22
25,2022-02-11,8354,142377,128320,5703,-13,45
26,2022-02-12,8699,143051,128649,5703,353,59
27,2022-02-13,8688,143295,128901,5706,8,39
28,2022-02-14,9088,143778,128984,5706,380,58
29,2022-02-15,9990,145343,129644,5709,920,40
30,2022-02-16,10446,146116,129958,5712,434,56
31,2022-02-17,11048,147050,130287,5715,608,57
32,2022-02-18,11369,147680,130585,5726,304,47
33,2022-02-19,12652,149312,130914,5746,1272,57
34,2022-02-20,12942,149939,131233,5764,309,94
35,2022-02-21,13192,150470,131502,5776,273,73
36,2022-02-22,16633,154235,131814,5788,3433,79
37,2022-02-23,19156,157139,132159,5824,2531,115
38,2022-02-24,22906,161261,132482,5873,3708,101
39,2022-02-25,25349,164070,132807,5914,2453,142
40,2022-02-26,29072,168227,133169,5986,3722,156
41,2022-02-27,34397,174007,133544,6066,5347,127
42,2022-02-28,58614,198755,133993,6148,24229,147
43,2022-03-01,87049,228292,134764,6479,10670,125
44,2022-03-02,106750,248838,135431,6657,17369,153
45,2022-03-03,125855,268850,136140,6855,19662,160
