id,date,confirmed,cured,died,curConfirm,curConfirmRelative
1,2022-12-21,275837299,247588226,5374522,22874551,810375
2,2022-12-22,276736494,248153010,5383095,23200389,899195
3,2022-12-23,277561556,248791503,5391080,23378973,825062
4,2022-12-24,278557702,249338728,5398059,23820915,996146
5,2022-12-25,279363255,249756467,5406190,24200598,805553
6,2022-12-26,279823684,250099946,5409519,24314219,460429
7,2022-12-27,280326732,250442285,5413396,24471051,503048
8,2022-12-28,281942189,251371955,5420349,25149885,1615457
9,2022-12-29,283323209,251969677,5428614,25924918,1381020
10,2022-12-30,285014678,252695001,5436122,26883555,1691469
11,2022-12-31,287017547,253290479,5443455,28283613,2002869
12,2022-01-01,288592610,253779426,5449734,29363450,1575063
13,2022-01-02,289693934,254189138,5453088,30051708,1101324
14,2022-01-03,290768820,254599941,5456711,30712168,1074886
15,2022-01-04,293125238,255433575,5462408,32229255,2356418
16,2022-01-05,295770480,256190033,5471242,34109205,2645242
17,2022-01-06,298420656,256870107,5478881,36071668,2650176
18,2022-01-07,301068453,257619691,5486492,37962270,2647797
19,2022-01-08,303977207,258330905,5493850,40152452,2908754
20,2022-01-09,306232863,259028337,5498337,41706189,2255656
21,2022-01-10,308096678,259605031,5501938,42989709,1863815
22,2022-01-11,311241254,260731880,5509197,45000177,3144576
23,2022-01-12,314458937,261833475,5518305,47107157,3217683
24,2022-01-13,317955702,263062084,5527813,49365805,3496765
25,2022-01-14,321328829,264338714,5535796,51454319,3373127
26,2022-01-15,324649822,265514784,5543940,53591098,3320993
27,2022-01-16,327113166,266575458,5549648,54988060,2463344
28,2022-01-17,329109769,267775005,5553630,55781134,1996603
29,2022-01-18,332001899,269241864,5560341,57199694,2892130
30,2022-01-19,335818129,271397939,5570100,58850090,3816230
31,2022-01-20,340074223,273292606,5580305,61201312,4256094
32,2022-01-21,343857031,275094065,5589876,63173090,3782808
33,2022-01-22,347483386,276837021,5599637,65046728,3626355
34,2022-01-23,350332352,278611308,5605775,66115269,2848966
35,2022-01-24,352611922,280261747,5610718,66739457,2279570
36,2022-01-25,356484616,282493220,5619729,68371667,3872694
37,2022-01-26,360094699,284912122,5631122,69551455,3610083
38,2022-01-27,364101566,287904252,5642266,70555048,4006867
39,2022-01-28,367815110,290502118,5653541,71659451,3713544
40,2022-01-29,371210488,292862726,5664420,72683342,3395378
41,2022-01-30,373697623,294927083,5671944,73098596,2487135
42,2022-01-31,375862703,297098208,5677855,73086640,2165080
43,2022-02-01,379576967,299378467,5713809,74484691,3714264
44,2022-02-02,382823265,303293623,5702648,73826994,3246298
45,2022-02-03,386163220,305775547,5715879,74671794,3339955
46,2022-02-04,389326364,308358088,5728066,75240210,3163144
47,2022-02-05,392417707,310813982,5741057,75862668,3091343
48,2022-02-06,394873501,313419319,5749052,75705130,2455794
49,2022-02-07,396727471,315308150,5755192,75664129,1853970
50,2022-02-08,399095851,318745516,5766471,74583864,2368380
51,2022-02-09,401988886,321564298,5779953,74644635,2893035
52,2022-02-10,404505293,324317799,5793110,74394384,2516407
53,2022-02-11,407343204,327240342,5806176,74296686,2837911
54,2022-02-12,409577090,329772759,5817776,73986555,2233886
55,2022-02-13,411441066,331439812,5825600,74175654,1863976
56,2022-02-14,412863581,333386124,5831426,73646031,1422515
57,2022-02-15,414695753,336630528,5842506,72222719,1832172
58,2022-02-16,416744478,339487999,5854647,71401832,2048725
59,2022-02-17,418972628,342308987,5867052,70796589,2228150
60,2022-02-18,420940824,345171900,5879067,69889857,1968196
