id,date,confirmed,cured,died,curConfirm,curConfirmRelative
1,2022-11-23,258522292,233960379,5173292,19388621,609016
2,2022-11-24,259174401,234474954,5181988,19517459,652109
3,2022-11-25,259866715,234934884,5190734,19741097,692314
4,2022-11-26,260460899,235363000,5197815,19900084,594184
5,2022-11-27,261001346,235780749,5204590,20016007,540447
6,2022-11-28,261421820,236130204,5210070,20081546,420474
7,2022-11-29,261837085,236477164,5214767,20145154,415265
8,2022-11-30,262521106,237061697,5223186,20236223,684021
9,2022-12-01,263191680,237622707,5231932,20337041,670574
10,2022-12-02,263882169,238133018,5240309,20508842,690489
11,2022-12-03,264587987,238541067,5248246,20798674,705818
12,2022-12-04,265294318,239051894,5256334,20986090,706331
13,2022-12-05,265740074,239436646,5261055,21042373,445756
14,2022-12-06,266192002,239800800,5268503,21122699,451928
15,2022-12-07,266821937,240415662,5276410,21129865,629935
16,2022-12-08,267507097,240919484,5285274,21302339,685160
17,2022-12-09,268191859,241377364,5293215,21521280,684762
18,2022-12-10,268884062,241928217,5301645,21654200,692203
19,2022-12-11,269481103,242429223,5309618,21742262,597041
20,2022-12-12,270024936,242794772,5314830,21915334,543833
21,2022-12-13,270521927,243235103,5319453,21967371,496991
22,2022-12-14,271139273,243805283,5326463,22007527,617346
23,2022-12-15,271809547,244365389,5335121,22109037,670274
24,2022-12-16,272522357,244924198,5343220,22254939,712810
25,2022-12-17,273298338,245500399,5350882,22447057,775981
26,2022-12-18,273990260,245988005,5358286,22643969,691922
27,2022-12-19,274545218,246379827,5363282,22802109,554958
28,2022-12-20,275026924,246810179,5367235,22849510,481706
29,2022-12-21,275837299,247588226,5374522,22874551,810375
30,2022-12-22,276736494,248153010,5383095,23200389,899195
31,2022-12-23,277561556,248791503,5391080,23378973,825062
32,2022-12-24,278557702,249338728,5398059,23820915,996146
33,2022-12-25,279363255,249756467,5406190,24200598,805553
34,2022-12-26,279823684,250099946,5409519,24314219,460429
35,2022-12-27,280326732,250442285,5413396,24471051,503048
36,2022-12-28,281942189,251371955,5420349,25149885,1615457
37,2022-12-29,283323209,251969677,5428614,25924918,1381020
38,2022-12-30,285014678,252695001,5436122,26883555,1691469
39,2022-12-31,287017547,253290479,5443455,28283613,2002869
40,2022-01-01,288592610,253779426,5449734,29363450,1575063
41,2022-01-02,289693934,254189138,5453088,30051708,1101324
42,2022-01-03,290768820,254599941,5456711,30712168,1074886
43,2022-01-04,293125238,255433575,5462408,32229255,2356418
44,2022-01-05,295770480,256190033,5471242,34109205,2645242
45,2022-01-06,298420656,256870107,5478881,36071668,2650176
46,2022-01-07,301068453,257619691,5486492,37962270,2647797
47,2022-01-08,303977207,258330905,5493850,40152452,2908754
48,2022-01-09,306232863,259028337,5498337,41706189,2255656
49,2022-01-10,308096678,259605031,5501938,42989709,1863815
50,2022-01-11,311241254,260731880,5509197,45000177,3144576
51,2022-01-12,314458937,261833475,5518305,47107157,3217683
52,2022-01-13,317955702,263062084,5527813,49365805,3496765
53,2022-01-14,321328829,264338714,5535796,51454319,3373127
54,2022-01-15,324649822,265514784,5543940,53591098,3320993
55,2022-01-16,327113166,266575458,5549648,54988060,2463344
56,2022-01-17,329109769,267775005,5553630,55781134,1996603
57,2022-01-18,332001899,269241864,5560341,57199694,2892130
58,2022-01-19,335818129,271397939,5570100,58850090,3816230
59,2022-01-20,340074223,273292606,5580305,61201312,4256094
60,2022-01-21,343857031,275094065,5589876,63173090,3782808
