id,date,curConfirm,confirmed,cured,died,curConfirmRelative,overseasInputRelative
1,2021-12-06,3257,128502,119524,5697,109,34
2,2021-12-07,3324,128602,119574,5697,100,30
3,2021-12-08,3361,128690,119602,5697,88,23
4,2021-12-09,3363,128776,119634,5697,86,26
5,2021-12-10,3467,128884,119674,5697,108,36
6,2021-12-11,3530,128970,119704,5697,86,26
7,2021-12-12,3576,129082,119750,5697,112,21
8,2021-12-13,3635,129165,119781,5697,83,25
9,2021-12-14,3715,129247,119826,5697,82,17
10,2021-12-15,3765,129332,119857,5698,85,8
11,2021-12-16,3778,129430,119883,5698,98,20
12,2021-12-17,3851,129577,119916,5698,147,36
13,2021-12-18,3963,129678,119964,5698,101,39
14,2021-12-19,4036,129794,120017,5699,116,65
15,2021-12-20,4097,129893,120066,5699,99,24
16,2021-12-21,4149,129988,120146,5699,95,20
17,2021-12-22,4171,130109,120188,5699,121,29
18,2021-12-23,4268,130211,120249,5699,102,32
19,2021-12-24,4289,130376,120362,5699,165,53
20,2021-12-25,4365,130625,120438,5699,249,48
21,2021-12-26,4527,130858,120491,5699,233,38
22,2021-12-27,4663,131093,120583,5699,235,27
23,2021-12-28,4841,131315,120640,5699,222,45
24,2021-12-29,4990,131550,120701,5699,235,51
25,2021-12-30,5186,131586,120701,5699,174,51
26,2021-12-31,5364,131821,120758,5699,198,28
27,2022-01-01,5591,132115,120825,5699,222,56
28,2022-01-02,5754,132350,120897,5699,163,60
29,2022-01-03,5861,132504,120944,5699,126,60
30,2022-01-04,6040,132726,120987,5699,162,67
31,2022-01-05,6132,132883,121052,5699,73,50
32,2022-01-06,6156,133107,121252,5699,33,57
33,2022-01-07,6320,133373,121354,5699,139,58
34,2022-01-08,6383,133587,121505,5699,85,64
35,2022-01-09,6491,133843,121653,5699,82,73
36,2022-01-10,6552,134090,121839,5699,47,60
37,2022-01-11,6607,134295,121989,5699,80,82
38,2022-01-12,6641,134540,122200,5699,96,55
39,2022-01-13,6822,134940,122418,5700,80,66
40,2022-01-14,6847,135206,122659,5700,55,58
41,2022-01-15,6854,135370,122816,5700,78,61
42,2022-01-16,6969,135621,122952,5700,63,54
43,2022-01-17,6981,135850,123169,5700,64,60
44,2022-01-18,7062,136089,123327,5700,81,44
45,2022-01-19,7028,136248,123520,5700,-34,32
