id,date,confirmed,unconfirmed,cured,died,curConfirmRelative,unconfirmedRelative,cureRelative,diedRelative,overseasInput,overseasInputRelative
1,2022-12-13,129165,1,119781,5697,83,0,31,0,10503,25
2,2022-12-14,129247,1,119826,5697,82,0,45,0,10520,17
3,2022-12-15,129332,1,119857,5698,85,0,31,1,10528,8
4,2022-12-16,129430,4,119883,5698,98,3,26,0,10548,20
5,2022-12-17,129577,6,119916,5698,147,3,33,0,10584,36
6,2022-12-18,129678,5,119964,5698,101,2,48,0,10623,39
7,2022-12-19,129794,4,120017,5699,116,1,53,1,10688,65
8,2022-12-20,129893,1,120066,5699,99,0,49,0,10712,24
9,2022-12-21,129988,3,120146,5699,95,2,80,0,10732,20
10,2022-12-22,130109,3,120188,5699,121,0,42,0,10761,29
11,2022-12-23,130211,8,120249,5699,102,6,61,0,10793,32
12,2022-12-24,130376,10,120362,5699,165,6,113,0,10846,53
13,2022-12-25,130625,3,120438,5699,249,0,76,0,10894,48
14,2022-12-26,130858,6,120491,5699,233,4,53,0,10932,38
15,2022-12-27,131093,3,120583,5699,235,0,92,0,10959,27
16,2022-12-28,131315,3,120640,5699,222,2,57,0,11004,45
17,2022-12-29,131550,2,120701,5699,235,2,61,0,11055,51
18,2022-12-30,131780,2,120748,5699,232,1,47,0,11083,29
19,2022-12-31,132071,1,120817,5699,291,1,69,0,11139,56
20,2022-01-01,132301,1,120884,5699,230,1,67,0,11199,60
21,2022-01-02,132479,0,120936,5699,178,0,52,0,11259,60
22,2022-01-03,132692,3,120987,5699,213,3,51,0,11326,67
23,2022-01-04,132830,1,121052,5699,138,0,65,0,11376,50
24,2022-01-05,133063,2,121252,5699,233,2,200,0,11433,57
25,2022-01-06,133304,7,121354,5699,241,6,102,0,11491,58
26,2022-01-07,133540,1,121505,5699,236,1,151,0,11555,64
27,2022-01-08,133770,2,121653,5699,230,2,148,0,11628,73
28,2022-01-09,134003,3,121839,5699,233,3,186,0,11688,60
29,2022-01-10,134233,1,121989,5699,230,0,150,0,11770,82
30,2022-01-11,134540,1,122200,5699,307,1,211,0,11825,55
31,2022-01-12,134838,9,122418,5699,298,9,218,0,11891,66
32,2022-01-13,135135,13,122659,5700,297,9,241,1,11949,58
33,2022-01-14,135370,9,122816,5700,235,6,157,0,12010,61
34,2022-01-15,135569,14,122952,5700,199,9,136,0,12064,54
35,2022-01-16,135850,8,123169,5700,281,4,217,0,12124,60
36,2022-01-17,136089,8,123327,5700,239,3,158,0,12168,44
37,2022-01-18,136248,11,123520,5700,159,5,193,0,12200,32
38,2022-01-19,136375,10,123771,5700,127,3,251,0,12223,23
39,2022-01-20,136511,5,123989,5700,136,1,218,0,12273,50
40,2022-01-21,136653,4,124185,5700,142,0,196,0,12313,40
41,2022-01-22,136852,7,124409,5700,199,3,224,0,12350,37
42,2022-01-23,137098,7,124663,5700,246,1,254,0,12389,39
43,2022-01-24,137264,6,124876,5700,166,0,213,0,12416,27
44,2022-01-25,137420,3,125070,5700,156,0,194,0,12436,20
45,2022-01-26,137655,0,125290,5700,235,0,220,0,12473,37
46,2022-01-27,137970,3,125479,5700,315,3,189,0,12498,25
47,2022-01-28,138180,1,125702,5700,210,0,223,0,12520,22
48,2022-01-29,138388,1,125904,5700,208,1,202,0,12547,27
49,2022-01-30,138566,4,126074,5700,178,3,170,0,12565,18
50,2022-01-31,138753,0,126220,5700,187,0,146,0,12604,39
51,2022-02-01,138960,0,126391,5700,207,0,171,0,12631,27
52,2022-02-02,139135,0,126511,5700,175,0,120,0,12649,18
53,2022-02-03,139320,4,126662,5700,185,4,151,0,12666,17
54,2022-02-04,139640,2,126827,5700,320,0,165,0,12684,18
55,2022-02-05,140008,2,127002,5700,368,1,175,0,12714,30
56,2022-02-06,140307,1,127234,5700,299,1,232,0,12748,34
57,2022-02-07,140821,0,127468,5700,514,0,234,0,12788,40
58,2022-02-08,141128,0,127639,5700,307,0,171,0,12825,37
59,2022-02-09,141846,1,127856,5702,718,1,217,2,12847,22
60,2022-02-10,142298,0,128320,5703,452,0,464,1,12892,45
