id,date,curConfirm,confirmed,cured,died,curConfirmRelative,overseasInputRelative
1,2021-12-17,3851,129577,119916,5698,147,36
2,2021-12-18,3963,129678,119964,5698,101,39
3,2021-12-19,4036,129794,120017,5699,116,65
4,2021-12-20,4097,129893,120066,5699,99,24
5,2021-12-21,4149,129988,120146,5699,95,20
6,2021-12-22,4171,130109,120188,5699,121,29
7,2021-12-23,4268,130211,120249,5699,102,32
8,2021-12-24,4289,130376,120362,5699,165,53
9,2021-12-25,4365,130625,120438,5699,249,48
10,2021-12-26,4527,130858,120491,5699,233,38
11,2021-12-27,4663,131093,120583,5699,235,27
12,2021-12-28,4841,131315,120640,5699,222,45
13,2021-12-29,4990,131550,120701,5699,235,51
14,2021-12-30,5186,131586,120701,5699,174,51
15,2021-12-31,5364,131821,120758,5699,198,28
16,2022-01-01,5591,132115,120825,5699,222,56
17,2022-01-02,5754,132350,120897,5699,163,60
18,2022-01-03,5861,132504,120944,5699,126,60
19,2022-01-04,6040,132726,120987,5699,162,67
20,2022-01-05,6132,132883,121052,5699,73,50
21,2022-01-06,6156,133107,121252,5699,33,57
22,2022-01-07,6320,133373,121354,5699,139,58
23,2022-01-08,6383,133587,121505,5699,85,64
24,2022-01-09,6491,133843,121653,5699,82,73
25,2022-01-10,6552,134090,121839,5699,47,60
26,2022-01-11,6607,134295,121989,5699,80,82
27,2022-01-12,6641,134540,122200,5699,96,55
28,2022-01-13,6822,134940,122418,5700,80,66
29,2022-01-14,6847,135206,122659,5700,55,58
30,2022-01-15,6854,135370,122816,5700,78,61
31,2022-01-16,6969,135621,122952,5700,63,54
32,2022-01-17,6981,135850,123169,5700,64,60
33,2022-01-18,7062,136089,123327,5700,81,44
34,2022-01-19,7028,136248,123520,5700,-34,32
35,2022-01-20,6904,136375,123771,5700,-124,23
36,2022-01-21,6908,136597,123989,5700,-82,50
37,2022-01-22,6768,136653,124185,5700,-54,40
38,2022-01-23,6943,137052,124409,5700,-25,37
39,2022-01-24,6787,137150,124663,5700,-8,39
40,2022-01-25,6748,137324,124876,5700,-47,27
41,2022-01-26,6748,137518,125070,5700,-38,20
42,2022-01-27,6737,137727,125290,5700,15,37
43,2022-01-28,6871,138050,125479,5700,126,25
44,2022-01-29,6842,138244,125702,5700,-13,22
45,2022-01-30,6846,138450,125904,5700,6,27
