id,date,confirmed,unconfirmed,cured,died,curConfirmRelative,unconfirmedRelative,cureRelative,diedRelative,overseasInput,overseasInputRelative
1,2021-10-24,125565,3,117415,5695,47,1,33,0,9507,4
2,2021-10-25,125620,4,117432,5696,55,1,17,1,9521,14
3,2021-10-26,125686,4,117457,5696,66,0,25,0,9530,9
4,2021-10-27,125738,4,117484,5696,52,0,27,0,9546,16
5,2021-10-28,125810,3,117512,5696,72,1,28,0,9562,16
6,2021-10-29,125898,3,117528,5696,88,0,16,0,9581,19
7,2021-10-30,125979,6,117550,5696,81,3,22,0,9604,23
8,2021-10-31,126078,5,117587,5696,99,1,37,0,9637,33
9,2021-11-01,126155,3,117615,5696,77,2,28,0,9654,17
10,2021-11-02,126270,3,117638,5696,115,1,23,0,9670,16
11,2021-11-03,126384,4,117662,5696,114,3,24,0,9687,17
12,2021-11-04,126471,4,117692,5696,87,1,30,0,9697,10
13,2021-11-05,126534,1,117735,5696,63,0,43,0,9712,15
14,2021-11-06,126616,3,117782,5696,82,2,47,0,9736,24
15,2021-11-07,126710,1,117838,5696,94,0,56,0,9760,24
16,2021-11-08,126775,1,117880,5696,65,0,42,0,9779,19
17,2021-11-09,126836,2,117934,5697,61,1,54,1,9794,15
18,2021-11-10,126908,2,117972,5697,72,0,38,0,9809,15
19,2021-11-11,127018,2,118038,5697,110,0,66,0,9828,19
20,2021-11-12,127104,3,118119,5697,86,1,81,0,9846,18
21,2021-11-13,127199,2,118182,5697,95,0,63,0,9865,19
22,2021-11-14,127260,4,118240,5697,61,2,58,0,9885,20
23,2021-11-15,127297,2,118316,5697,37,1,76,0,9896,11
24,2021-11-16,127331,4,118392,5697,34,2,76,0,9919,23
25,2021-11-17,127374,3,118452,5697,43,0,60,0,9948,29
26,2021-11-18,127405,2,118508,5697,31,0,56,0,9964,16
27,2021-11-19,127439,2,118581,5697,34,0,73,0,9984,20
28,2021-11-20,127463,3,118660,5697,24,1,79,0,9997,13
29,2021-11-21,127512,4,118752,5697,49,2,92,0,10028,31
30,2021-11-22,127537,3,118820,5697,25,0,68,0,10042,14
31,2021-11-23,127572,1,118892,5697,35,0,72,0,10060,18
32,2021-11-24,127602,2,118962,5697,30,1,70,0,10082,22
33,2021-11-25,127631,4,119031,5697,29,2,69,0,10091,9
34,2021-11-26,127672,2,119110,5697,41,0,79,0,10111,20
35,2021-11-27,127710,3,119159,5697,38,2,49,0,10131,20
36,2021-11-28,127764,3,119201,5697,54,0,42,0,10151,20
37,2021-11-29,127814,3,119238,5697,50,0,37,0,10169,18
38,2021-11-30,127938,2,119275,5697,124,0,37,0,10191,22
39,2021-12-01,128022,2,119314,5697,84,1,39,0,10211,20
40,2021-12-02,128141,5,119347,5697,119,3,33,0,10227,16
41,2021-12-03,128245,2,119398,5697,104,1,51,0,10242,15
42,2021-12-04,128319,1,119437,5697,74,0,39,0,10259,17
43,2021-12-05,128393,2,119475,5697,74,1,38,0,10282,23
44,2021-12-06,128502,3,119524,5697,109,2,49,0,10316,34
45,2021-12-07,128602,4,119574,5697,100,1,50,0,10346,30
46,2021-12-08,128690,2,119602,5697,88,0,28,0,10369,23
47,2021-12-09,128776,1,119634,5697,86,0,32,0,10395,26
48,2021-12-10,128884,1,119674,5697,108,0,40,0,10431,36
49,2021-12-11,128970,2,119704,5697,86,1,30,0,10457,26
50,2021-12-12,129082,2,119750,5697,112,0,46,0,10478,21
51,2021-12-13,129165,1,119781,5697,83,0,31,0,10503,25
52,2021-12-14,129247,1,119826,5697,82,0,45,0,10520,17
53,2021-12-15,129332,1,119857,5698,85,0,31,1,10528,8
54,2021-12-16,129430,4,119883,5698,98,3,26,0,10548,20
55,2021-12-17,129577,6,119916,5698,147,3,33,0,10584,36
56,2021-12-18,129678,5,119964,5698,101,2,48,0,10623,39
57,2021-12-19,129794,4,120017,5699,116,1,53,1,10688,65
58,2021-12-20,129893,1,120066,5699,99,0,49,0,10712,24
59,2021-12-21,129988,3,120146,5699,95,2,80,0,10732,20
60,2021-12-22,130109,3,120188,5699,121,0,42,0,10761,29
