id,date,curConfirm,confirmed,cured,died,curConfirmRelative,overseasInputRelative
1,2022-01-06,6156,133107,121252,5699,33,57
2,2022-01-07,6320,133373,121354,5699,139,58
3,2022-01-08,6383,133587,121505,5699,85,64
4,2022-01-09,6491,133843,121653,5699,82,73
5,2022-01-10,6552,134090,121839,5699,47,60
6,2022-01-11,6607,134295,121989,5699,80,82
7,2022-01-12,6641,134540,122200,5699,96,55
8,2022-01-13,6822,134940,122418,5700,80,66
9,2022-01-14,6847,135206,122659,5700,55,58
10,2022-01-15,6854,135370,122816,5700,78,61
11,2022-01-16,6969,135621,122952,5700,63,54
12,2022-01-17,6981,135850,123169,5700,64,60
13,2022-01-18,7062,136089,123327,5700,81,44
14,2022-01-19,7028,136248,123520,5700,-34,32
15,2022-01-20,6904,136375,123771,5700,-124,23
16,2022-01-21,6908,136597,123989,5700,-82,50
17,2022-01-22,6768,136653,124185,5700,-54,40
18,2022-01-23,6943,137052,124409,5700,-25,37
19,2022-01-24,6787,137150,124663,5700,-8,39
20,2022-01-25,6748,137324,124876,5700,-47,27
21,2022-01-26,6748,137518,125070,5700,-38,20
22,2022-01-27,6737,137727,125290,5700,15,37
23,2022-01-28,6871,138050,125479,5700,126,25
24,2022-01-29,6842,138244,125702,5700,-13,22
25,2022-01-30,6846,138450,125904,5700,6,27
26,2022-01-31,6847,138621,126074,5700,8,18
27,2022-02-01,6833,138753,126220,5700,41,39
28,2022-02-02,6869,138960,126391,5700,36,27
29,2022-02-03,6982,139193,126511,5700,55,18
30,2022-02-04,7031,139393,126662,5700,34,17
31,2022-02-05,7187,139714,126827,5700,155,18
32,2022-02-06,7406,140108,127002,5700,193,30
33,2022-02-07,7477,140411,127234,5700,67,34
34,2022-02-08,7720,140888,127468,5700,280,40
35,2022-02-09,7844,141183,127639,5700,136,37
36,2022-02-10,8288,141846,127856,5702,499,22
37,2022-02-11,8354,142377,128320,5703,-13,45
38,2022-02-12,8699,143051,128649,5703,353,59
39,2022-02-13,8688,143295,128901,5706,8,39
40,2022-02-14,9088,143778,128984,5706,380,58
41,2022-02-15,9990,145343,129644,5709,920,40
42,2022-02-16,10446,146116,129958,5712,434,56
43,2022-02-17,11048,147050,130287,5715,608,57
44,2022-02-18,11369,147680,130585,5726,304,47
45,2022-02-19,12652,149312,130914,5746,1272,57
